Frequency [Hz],Scattering Coefficient,"Normalized Diffusion 
Coefficient",Diffusion Coefficient
100,"0,001",0,"0,649"
125,"0,001",0,"0,641"
160,"0,004",0,"0,626"
200,"0,01",0,"0,6"
250,"0,03",0,"0,565"
315,"0,092","0,084","0,551"
400,"0,237","0,327","0,627"
500,"0,449","0,653","0,791"
630,"0,654","0,642","0,772"
800,"0,837","0,333","0,547"
1000,"0,857","0,124","0,372"
1250,"0,871","0,326","0,491"
1600,"0,779","0,22","0,382"
2000,"0,686","0,34","0,452"
2500,"0,799","0,691","0,733"
3150,"0,794","0,595","0,639"
4000,"0,873","0,412","0,464"
5000,"0,975","0,373","0,416"
6300,"0,991","0,422","0,454"
8000,"0,748","0,289","0,32"
